,date,incidence
0,1,3.0
1,2,5.933880547234914
2,3,8.777257881126804
3,4,11.487148390101481
4,5,14.114477162910749
5,6,16.816522873301132
6,7,19.703232685467132
7,8,22.264953396765105
8,9,24.72376602474623
9,10,27.18264073672793
10,11,29.407590807373445
11,12,31.726198169088562
12,13,33.97887812388797
13,14,36.39835310949963
14,15,38.72460556904215
15,16,41.19460768199619
16,17,43.4257513753396
17,18,45.849221618987805
18,19,47.90235636128152
19,20,50.06395423262669
20,21,52.120022715429855
21,22,54.33339069080273
22,23,55.98801053671946
23,24,57.68075959163321
24,25,59.593969382798136
25,26,61.214972453539026
26,27,62.53169851244088
27,28,63.65185612388765
28,29,64.9371284418371
29,30,65.90786362715305
30,31,67.04133179802494
31,32,67.73361367291264
32,33,68.5023858200034
33,34,68.8624272549778
34,35,69.21803642039995
35,36,69.38131321790377
36,37,69.22891610409262
37,38,69.02224161899635
38,39,68.85749140544452
39,40,68.58890626574527
40,41,67.87453118479405
41,42,67.09560446752971
42,43,66.26444062597692
43,44,65.13956378876297
44,45,63.97079882737085
45,46,62.60551366579175
46,47,60.92307502942
47,48,59.43043357524057
48,49,57.458521773556456
49,50,55.527039638634335
50,51,53.46483500134371
