,date,incidence
0,1,0.011602496867881815
1,2,0.6052267101040724
2,3,0.9267185429677421
3,4,1.1373486153665278
4,5,1.1801615355969288
5,6,1.136791876905454
6,7,1.0830515929189004
7,8,0.9187259956558951
8,9,0.7329789774990674
9,10,0.60995686241204
10,11,0.4440077802453804
11,12,0.39543168844492355
12,13,0.302627037196846
13,14,0.269205631665483
14,15,0.16033471876013283
15,16,0.18658217739448038
16,17,0.2044957651703433
17,18,0.09633584534571352
18,19,0.10109347620920944
19,20,0.09898522751055672
20,21,0.03125942603640112
21,22,0.052052149199891797
22,23,0.03314126010280798
23,24,0.030760606586128576
24,25,0.0
25,26,0.01761824811855196
26,27,0.03794723300117257
27,28,0.0829417993628413
28,29,0.05622885992726209
29,30,0.11423764695122043
30,31,0.0
31,32,0.04778343973071329
32,33,0.012484018074069828
33,34,0.11213014328158374
34,35,0.0
35,36,0.0
36,37,0.0
37,38,0.0
38,39,0.0
39,40,0.0
40,41,0.00805386415414306
41,42,0.017512958357192007
42,43,0.09414693427557193
43,44,0.04779052457253002
44,45,0.0
45,46,0.0
46,47,0.02473175696418291
47,48,0.0
48,49,0.09165896467800837
49,50,0.05904047601635917
