,date,incidence
0,1,3.0
1,2,5.933085785836928
2,3,8.798331898495285
3,4,11.478074676183873
4,5,14.13514416169551
5,6,16.84335804645786
6,7,19.72408286917844
7,8,22.279482789455887
8,9,24.7281881963121
9,10,27.196001844251093
10,11,29.441079481782918
11,12,31.76887899631318
12,13,34.013530948592816
13,14,36.44046480706571
14,15,38.759357758116764
15,16,41.22920328582702
16,17,43.48749091758472
17,18,45.89663840446837
18,19,47.961565339639044
19,20,50.15150325664244
20,21,52.21289691100837
21,22,54.37345618304391
22,23,56.04376189155723
23,24,57.75909327016582
24,25,59.59301922133142
25,26,61.24635840035837
26,27,62.503470307702216
27,28,63.58072603085617
28,29,64.81741272657013
29,30,65.76626048827703
30,31,66.83097466239226
31,32,67.53978251845635
32,33,68.31660075610323
33,34,68.74426817357158
34,35,69.16215797632739
35,36,69.3375922734941
36,37,69.24274908483518
37,38,68.92085501146569
38,39,68.68377131507604
39,40,68.34964125573009
40,41,67.64622149830483
41,42,66.83674472277919
42,43,65.89666747356235
43,44,64.7068421074057
44,45,63.50446870968891
45,46,62.14929854054389
46,47,60.55995524479568
47,48,59.034981465811285
48,49,57.20416049664589
49,50,55.165328856786886
50,51,53.1607068332419
