,date,incidence
0,1,0.0
1,2,0.7675909147222637
2,3,1.0278216837742309
3,4,1.2545570383130455
4,5,1.2537967773748824
5,6,1.0383469975333464
6,7,0.9532656780517259
7,8,0.9505723750081203
8,9,0.8020129305405853
9,10,0.6088175134107596
10,11,0.505866986808149
11,12,0.5241238348233855
12,13,0.25790283025926997
13,14,0.3077794417655823
14,15,0.18147700069435957
15,16,0.13884673135969972
16,17,0.23773650471893343
17,18,0.1843154876673594
18,19,0.16235885370432623
19,20,0.195025908640434
20,21,0.053420833793968836
21,22,0.10904282223886735
22,23,0.0014849644043726344
23,24,0.05829343690753121
24,25,0.007581621330231703
25,26,0.026092335904876644
26,27,0.07256302098259144
27,28,0.0
28,29,0.21750404619154778
29,30,0.0
30,31,0.0
31,32,0.11997849524468616
32,33,0.08248318718344583
33,34,0.06505197832591564
34,35,0.06493577325691788
35,36,0.00044772444994173473
36,37,0.0
37,38,0.008639899250380495
38,39,0.0
39,40,0.09818311605493012
40,41,0.0
41,42,0.0
42,43,0.0
43,44,0.04156247809078994
44,45,0.0
45,46,0.0
46,47,0.024504519538048854
47,48,0.024604741543285888
48,49,0.0
49,50,0.0
