,date,incidence
0,1,0.0
1,2,0.5919742007243947
2,3,1.0647853503948406
3,4,1.1675438341665187
4,5,1.2527247087811941
5,6,1.0415251156858354
6,7,0.9793150309237343
7,8,0.8761051994817033
8,9,0.7433249336854759
9,10,0.5884043992332122
10,11,0.5252767450946457
11,12,0.3429763237754133
12,13,0.3099409948917883
13,14,0.25908448523417343
14,15,0.22741820764068643
15,16,0.19619559558686625
16,17,0.07162671492832096
17,18,0.02506814423177528
18,19,0.14489173119918783
19,20,0.08109372852398068
20,21,0.01389612280286525
21,22,0.11840512388549712
22,23,0.038295371778361176
23,24,0.08484166086187832
24,25,0.02397185083750561
25,26,0.11943013564970417
26,27,0.10081436056106031
27,28,0.0
28,29,0.05684386617071952
29,30,0.038847321554899984
30,31,0.07366754929582638
31,32,0.0
32,33,0.03761949078707421
33,34,0.05556122096317952
34,35,0.0
35,36,0.0
36,37,0.0
37,38,0.0
38,39,0.03672034333989711
39,40,0.07578899531795641
40,41,0.004238913851321439
41,42,0.08185593684689864
42,43,0.0
43,44,0.0
44,45,0.0
45,46,0.019373890934576334
46,47,0.0
47,48,0.0
48,49,0.0
49,50,0.0
